time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-04-26 09:30:00-04:00,BotStrategy,46960590cd26443abf9045ebd39a801d,GOOGL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-26 09:30:00-04:00,BotStrategy,46960590cd26443abf9045ebd39a801d,GOOGL,buy,market,fill,1,gtc,0.0,1,stock,104.91999816894531,114.0,0.0
