time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-10-28 09:30:00-04:00,BotStrategy,AMZN,sell,market,new,1,gtc,0.0,1,stock,,,
2022-10-28 09:30:00-04:00,BotStrategy,AMZN,sell,market,fill,1,gtc,0.0,1,stock,97.91000366210938,1021.0,0.0
